timestamp,ready,unacked,total
17:57:39,0,0,0
17:57:40,0,0,0
17:57:41,0,0,0
17:57:42,0,0,0
17:57:43,0,0,0
17:57:44,0,0,0
17:57:45,0,0,0
17:57:46,0,0,0
17:57:47,0,0,0
17:57:48,0,0,0
17:57:49,0,0,0
17:57:50,0,0,0
17:57:51,0,0,0
17:57:52,0,0,0
17:57:53,0,0,0
17:57:54,0,0,0
17:57:55,0,0,0
17:57:56,0,0,0
17:57:57,0,0,0
17:57:59,0,0,0
17:58:00,0,0,0
17:58:01,0,0,0
17:58:02,0,0,0
17:58:03,0,0,0
17:58:04,0,0,0
17:58:05,0,0,0
17:58:06,0,0,0
17:58:07,0,0,0
17:58:08,0,0,0
17:58:09,0,0,0
17:58:10,0,0,0
17:58:11,0,0,0
17:58:12,0,0,0
17:58:13,0,0,0
17:58:14,0,0,0
17:58:15,0,0,0
17:58:16,0,0,0
17:58:17,0,0,0
17:58:18,0,1,1
17:58:19,0,1,1
17:58:20,0,1,1
17:58:21,0,1,1
17:58:22,0,1,1
17:58:23,0,0,0
17:58:24,0,0,0
17:58:25,0,0,0
17:58:26,0,0,0
17:58:28,0,0,0
17:58:29,0,1,1
17:58:30,0,1,1
17:58:31,0,1,1
17:58:32,0,1,1
17:58:33,0,1,1
17:58:34,0,1,1
17:58:35,0,1,1
17:58:36,0,1,1
17:58:37,0,1,1
17:58:38,0,1,1
17:58:39,0,1,1
17:58:40,0,1,1
17:58:41,0,1,1
17:58:42,0,1,1
17:58:43,0,1,1
17:58:44,0,1,1
17:58:45,0,1,1
17:58:46,0,1,1
17:58:47,0,1,1
17:58:48,0,0,0
17:58:49,0,0,0
17:58:50,0,0,0
17:58:52,0,0,0
17:58:53,0,0,0
17:58:54,0,1,1
17:58:55,0,1,1
17:58:56,0,1,1
17:58:57,0,1,1
17:58:58,0,1,1
17:58:59,0,0,0
17:59:00,0,0,0
17:59:01,0,0,0
17:59:02,0,0,0
17:59:03,0,0,0
17:59:04,0,0,0
17:59:05,0,0,0
17:59:06,0,0,0
17:59:07,0,0,0
17:59:08,0,0,0
17:59:09,0,0,0
17:59:10,0,0,0
17:59:11,0,0,0
17:59:12,0,0,0
17:59:13,0,0,0
17:59:14,0,0,0
17:59:15,0,0,0
17:59:17,0,0,0
17:59:18,0,0,0
17:59:19,0,0,0
17:59:20,0,0,0
17:59:21,0,0,0
17:59:22,0,0,0
17:59:23,0,0,0
17:59:24,0,0,0
17:59:25,0,0,0
17:59:26,0,0,0
17:59:27,0,0,0
17:59:28,0,0,0
17:59:29,0,0,0
17:59:30,0,0,0
17:59:31,0,0,0
17:59:32,0,0,0
17:59:33,0,0,0
17:59:34,0,0,0
17:59:35,0,0,0
17:59:36,0,0,0
17:59:37,0,0,0
17:59:38,0,0,0
17:59:39,0,0,0
17:59:40,0,0,0
17:59:41,0,0,0
17:59:42,0,0,0
17:59:43,0,0,0
17:59:44,0,0,0
17:59:45,0,0,0
17:59:47,0,0,0
17:59:48,0,0,0
17:59:49,0,0,0
17:59:50,0,0,0
17:59:51,0,0,0
17:59:52,0,0,0
17:59:53,0,0,0
17:59:54,0,0,0
17:59:55,0,0,0
17:59:56,0,0,0
17:59:57,0,0,0
17:59:58,0,0,0
17:59:59,0,0,0
18:00:00,0,0,0
18:00:01,0,0,0
18:00:02,0,0,0
18:00:03,0,0,0
18:00:04,0,0,0
18:00:05,0,0,0
18:00:06,0,0,0
18:00:07,0,0,0
18:00:08,0,0,0
18:00:09,0,0,0
18:00:10,0,0,0
18:00:11,0,0,0
18:00:12,0,0,0
18:00:13,0,0,0
18:00:14,0,0,0
18:00:15,0,0,0
18:00:16,0,0,0
18:00:17,0,0,0
